contract,transaction_date,quantity,price (USD)
Organic Wheat (feed) (delivered),7/25/16,903,8
Organic Wheat (feed) (delivered),7/25/16,44,8
Organic Wheat (feed) (delivered),7/25/16,1814,8
Organic Wheat (feed) (delivered),7/25/16,1789,8
Organic Wheat (feed) (delivered),7/25/16,833,7.5
Organic Wheat (feed) (delivered),7/26/16,2299.41,10
Organic Wheat (feed) (delivered),7/26/16,2698.19,10
Organic Wheat (feed) (delivered),7/28/16,224,8
Organic Wheat (feed) (delivered),8/5/16,1584,8
Organic Wheat (feed) (delivered),8/5/16,393,8
Organic Wheat (feed) (delivered),8/5/16,16,8
Organic Wheat (feed) (delivered),8/5/16,435,8
Organic Wheat (feed) (delivered),8/5/16,904,8
Organic Wheat (feed) (delivered),8/5/16,1108,8
Organic Wheat (feed) (delivered),8/5/16,4601.07,9.5
Organic Wheat (feed) (delivered),8/5/16,1750,8
Organic Wheat (feed) (delivered),8/5/16,1070,8
Organic Wheat (feed) (delivered),8/8/16,11000,6.6
Organic Wheat (feed) (delivered),8/9/16,1600,10.95
Organic Wheat (feed) (delivered),8/10/16,368,8
Organic Wheat (feed) (delivered),8/10/16,733,8
Organic Wheat (feed) (delivered),8/10/16,98,8
Organic Wheat (feed) (delivered),8/10/16,1059,8
Organic Wheat (feed) (delivered),8/10/16,2650,8
Organic Wheat (feed) (delivered),8/12/16,416,8
Organic Wheat (feed) (delivered),8/12/16,564,8
Organic Wheat (feed) (delivered),8/15/16,293,8
Organic Wheat (feed) (delivered),8/15/16,1357,10.91
Organic Wheat (feed) (delivered),8/15/16,383,8
Organic Wheat (feed) (delivered),8/17/16,1600,10.95
Organic Wheat (feed) (delivered),8/18/16,6800,6.6
Organic Wheat (feed) (delivered),8/18/16,900,8
Organic Wheat (feed) (delivered),8/19/16,820,8
Organic Wheat (feed) (delivered),8/19/16,849,8
Organic Wheat (feed) (delivered),8/26/16,577,8
Organic Wheat (feed) (delivered),8/26/16,260,8
Organic Wheat (feed) (delivered),8/31/16,1700,8
Organic Wheat (feed) (delivered),8/31/16,608,8
Organic Wheat (feed) (delivered),8/31/16,877,8
Organic Wheat (feed) (delivered),9/2/16,751,8
Organic Wheat (feed) (delivered),9/2/16,257,8
Organic Wheat (feed) (delivered),9/14/16,17000,6.6
Organic Wheat (feed) (delivered),9/15/16,1999,8
Organic Wheat (feed) (delivered),9/16/16,712,8
Organic Wheat (feed) (delivered),9/16/16,953,8
Organic Wheat (feed) (delivered),9/16/16,853,8
Organic Wheat (feed) (delivered),9/16/16,425,8
Organic Wheat (feed) (delivered),9/16/16,851,8
Organic Wheat (feed) (delivered),9/16/16,836,8
Organic Wheat (feed) (delivered),9/16/16,900,8
Organic Wheat (feed) (delivered),9/21/16,6667,9.45
Organic Wheat (feed) (delivered),9/23/16,1730,8
Organic Wheat (feed) (delivered),9/23/16,1779,8
Organic Wheat (feed) (delivered),9/23/16,842,8
Organic Wheat (feed) (delivered),9/23/16,589,8
Organic Wheat (feed) (delivered),9/23/16,708,8
Organic Wheat (feed) (delivered),9/23/16,857,8
Organic Wheat (feed) (delivered),9/26/16,5867,10.32
Organic Wheat (feed) (delivered),9/27/16,2746.33,10
Organic Wheat (feed) (delivered),9/28/16,14000,11.25
Organic Wheat (feed) (delivered),9/30/16,932,8
Organic Wheat (feed) (delivered),9/30/16,830,8.35
Organic Wheat (feed) (delivered),9/30/16,1626,8
Organic Wheat (feed) (delivered),9/30/16,570,8
Organic Wheat (feed) (delivered),9/30/16,517,8
Organic Wheat (feed) (delivered),9/30/16,1141,8
Organic Wheat (feed) (delivered),10/1/16,2823.81,8
Organic Wheat (feed) (delivered),10/1/16,870.67,8
Organic Wheat (feed) (delivered),10/3/16,4400,9.66
Organic Wheat (feed) (delivered),10/7/16,1731,8.35
Organic Wheat (feed) (delivered),10/7/16,830,8.35
Organic Wheat (feed) (delivered),10/7/16,972,8
Organic Wheat (feed) (delivered),10/7/16,2491,8
Organic Wheat (feed) (delivered),10/12/16,8000,7.3
Organic Wheat (feed) (delivered),10/13/16,13000,10.5
Organic Wheat (feed) (delivered),10/14/16,409,8
Organic Wheat (feed) (delivered),10/14/16,579,8
Organic Wheat (feed) (delivered),10/14/16,862,8.35
Organic Wheat (feed) (delivered),10/15/16,1006,8
Organic Wheat (feed) (delivered),10/15/16,771,8
Organic Wheat (feed) (delivered),10/15/16,830.17,8
Organic Wheat (feed) (delivered),10/15/16,879,8
Organic Wheat (feed) (delivered),10/15/16,2710.66,8
Organic Wheat (feed) (delivered),10/15/16,934.67,8
Organic Wheat (feed) (delivered),10/21/16,144,8
Organic Wheat (feed) (delivered),10/21/16,833,8
Organic Wheat (feed) (delivered),10/21/16,159,8
Organic Wheat (feed) (delivered),10/21/16,936,8
Organic Wheat (feed) (delivered),10/21/16,1793,8
Organic Wheat (feed) (delivered),11/1/16,10000,9.3
Organic Wheat (feed) (delivered),11/4/16,874,8
Organic Wheat (feed) (delivered),11/4/16,3498.33,8
Organic Wheat (feed) (delivered),11/10/16,3600,7
Organic Wheat (feed) (delivered),11/11/16,865.33,8
Organic Wheat (feed) (delivered),11/11/16,849.33,8
Organic Wheat (feed) (delivered),11/14/16,33333,9.03
Organic Wheat (feed) (delivered),11/15/16,800,9.6
Organic Wheat (feed) (delivered),11/15/16,596.82,8
Organic Wheat (feed) (delivered),11/16/16,700,13
Organic Wheat (feed) (delivered),11/17/16,818.67,8
Organic Wheat (feed) (delivered),11/17/16,844.49,8
Organic Wheat (feed) (delivered),11/17/16,1729,8.35
Organic Wheat (feed) (delivered),11/17/16,837.67,8.35
Organic Wheat (feed) (delivered),11/17/16,822,8
Organic Wheat (feed) (delivered),11/22/16,1600,8.5
Organic Wheat (feed) (delivered),11/24/16,5867,10.39
Organic Wheat (feed) (delivered),11/24/16,11733,10.39
Organic Wheat (feed) (delivered),11/25/16,877.51,8
Organic Wheat (feed) (delivered),11/25/16,753.53,8
Organic Wheat (feed) (delivered),12/1/16,6667,9.54
Organic Wheat (feed) (delivered),12/1/16,4789.79,8.5
Organic Wheat (feed) (delivered),12/1/16,712.66,8
Organic Wheat (feed) (delivered),12/1/16,18333,8.59
Organic Wheat (feed) (delivered),12/2/16,1753.67,8
Organic Wheat (feed) (delivered),12/2/16,2588.67,8
Organic Wheat (feed) (delivered),12/6/16,6667,9.6
Organic Wheat (feed) (delivered),12/8/16,7000,10
Organic Wheat (feed) (delivered),12/8/16,660000,9.9
Organic Wheat (feed) (delivered),12/8/16,7000,9.9
Organic Wheat (feed) (delivered),12/9/16,805.67,8
Organic Wheat (feed) (delivered),12/9/16,846.67,8.35
Organic Wheat (feed) (delivered),12/9/16,1783,8
Organic Wheat (feed) (delivered),12/12/16,16667,9.15
Organic Wheat (feed) (delivered),12/17/16,1498.24,8.35
Organic Wheat (feed) (delivered),12/28/16,3200,7.25
